Kingdom_Group,log_genome_count,Repeat_length,Spacer_length,Count
Bacteria_Actinobacteria,0.00679663699936338,22,38,77
Bacteria_Actinobacteria,0.00679663699936338,22,39,320
Bacteria_Actinobacteria,0.00679663699936338,22,40,25
Bacteria_Actinobacteria,0.00679663699936338,22,41,32
Bacteria_Actinobacteria,0.00679663699936338,22,42,7
Bacteria_Actinobacteria,0.00679663699936338,22,43,19
Bacteria_Actinobacteria,0.00679663699936338,22,44,50
Bacteria_Actinobacteria,0.00679663699936338,22,45,2
Bacteria_Actinobacteria,0.00679663699936338,22,46,7
Bacteria_Actinobacteria,0.00679663699936338,22,47,13
Bacteria_Actinobacteria,0.00679663699936338,22,48,6
Bacteria_Actinobacteria,0.00679663699936338,22,49,9
Bacteria_Actinobacteria,0.00679663699936338,23,19,448
Bacteria_Actinobacteria,0.00679663699936338,23,20,1
Bacteria_Actinobacteria,0.00679663699936338,23,22,922
Bacteria_Actinobacteria,0.00679663699936338,23,25,482
Bacteria_Actinobacteria,0.00679663699936338,23,26,7
Bacteria_Actinobacteria,0.00679663699936338,23,27,5
Bacteria_Actinobacteria,0.00679663699936338,23,28,126
Bacteria_Actinobacteria,0.00679663699936338,23,29,3
Bacteria_Actinobacteria,0.00679663699936338,23,30,15
Bacteria_Actinobacteria,0.00679663699936338,23,31,1173
Bacteria_Actinobacteria,0.00679663699936338,23,32,3
Bacteria_Actinobacteria,0.00679663699936338,23,33,5
Bacteria_Actinobacteria,0.00679663699936338,23,34,794
Bacteria_Actinobacteria,0.00679663699936338,23,35,7
Bacteria_Actinobacteria,0.00679663699936338,23,36,8
Bacteria_Actinobacteria,0.00679663699936338,23,37,497
Bacteria_Actinobacteria,0.00679663699936338,23,38,281
Bacteria_Actinobacteria,0.00679663699936338,23,39,43
Bacteria_Actinobacteria,0.00679663699936338,23,40,151
Bacteria_Actinobacteria,0.00679663699936338,23,41,13
Bacteria_Actinobacteria,0.00679663699936338,23,42,8
Bacteria_Actinobacteria,0.00679663699936338,23,43,610
Bacteria_Actinobacteria,0.00679663699936338,23,44,11
Bacteria_Actinobacteria,0.00679663699936338,23,45,6
Bacteria_Actinobacteria,0.00679663699936338,23,46,23
Bacteria_Actinobacteria,0.00679663699936338,23,47,4
Bacteria_Actinobacteria,0.00679663699936338,23,48,32
Bacteria_Actinobacteria,0.00679663699936338,23,49,330
Bacteria_Actinobacteria,0.00679663699936338,24,19,4
Bacteria_Actinobacteria,0.00679663699936338,24,21,572
Bacteria_Actinobacteria,0.00679663699936338,24,24,376
Bacteria_Actinobacteria,0.00679663699936338,24,25,2
Bacteria_Actinobacteria,0.00679663699936338,24,26,3
